Sounder, Date (dd/MM/YYYY), Time (hh:mm:ss), Latitude (DD;MM;SS.sss H), Longitude  (DD;MM;SS.sss H),depth, Range (m),time,lat,lon,,
EA600-18kHz,10/9/22,10:27:22 AM,23;56;06.143 S,52;34;40.105 E,4889.28,4880.37,10/9/22 10:27:22 AM,-23.93503972,52.57780694,,
EA600-18kHz,10/9/22,10:27:35 AM,23;56;04.516 S,52;34;43.659 E,4891.32,4882.57,10/9/22 10:27:35 AM,-23.93458778,52.57879417,,
EA600-18kHz,10/9/22,10:27:49 AM,23;56;02.878 S,52;34;47.246 E,4897.89,4888.5,10/9/22 10:27:49 AM,-23.93413278,52.57979056,,
EA600-18kHz,10/9/22,10:28:16 AM,23;55;59.642 S,52;34;54.362 E,4915.14,4905.47,10/9/22 10:28:16 AM,-23.93323389,52.58176722,,
EA600-18kHz,10/9/22,10:28:29 AM,23;55;58.032 S,52;34;57.899 E,4952.98,4944.18,10/9/22 10:28:29 AM,-23.93278667,52.58274972,,
EA600-18kHz,10/9/22,10:28:42 AM,23;55;56.443 S,52;35;01.474 E,4952.18,4943.07,10/9/22 10:28:42 AM,-23.93234528,52.58374278,,
EA600-18kHz,10/9/22,10:28:56 AM,23;55;54.833 S,52;35;05.029 E,4928.82,4919.41,10/9/22 10:28:56 AM,-23.93189806,52.58473028,,
EA600-18kHz,10/9/22,10:29:09 AM,23;55;53.244 S,52;35;08.578 E,4951.14,4941.91,10/9/22 10:29:09 AM,-23.93145667,52.58571611,,
EA600-18kHz,10/9/22,10:29:49 AM,23;55;48.440 S,52;35;19.231 E,4927.78,4918.69,10/9/22 10:29:49 AM,-23.93012222,52.58867528,,
EA600-18kHz,10/9/22,10:30:02 AM,23;55;46.765 S,52;35;22.725 E,4919.88,4911.21,10/9/22 10:30:02 AM,-23.92965694,52.58964583,,
EA600-18kHz,10/9/22,10:30:16 AM,23;55;45.174 S,52;35;26.275 E,4919.23,4909.88,10/9/22 10:30:16 AM,-23.929215,52.59063194,,
EA600-18kHz,10/9/22,10:30:56 AM,23;55;40.343 S,52;35;36.935 E,4888.06,4879.39,10/9/22 10:30:56 AM,-23.92787306,52.59359306,,
EA600-18kHz,10/9/22,10:31:09 AM,23;55;38.670 S,52;35;40.498 E,4717.66,4708.66,10/9/22 10:31:09 AM,-23.92740833,52.59458278,,
EA600-18kHz,10/9/22,10:31:36 AM,23;55;35.407 S,52;35;47.572 E,4722.86,4713.93,10/9/22 10:31:36 AM,-23.92650194,52.59654778,,
EA600-18kHz,10/9/22,10:31:50 AM,23;55;33.800 S,52;35;51.116 E,4716.04,4707.16,10/9/22 10:31:50 AM,-23.92605556,52.59753222,,
EA600-18kHz,10/9/22,10:32:03 AM,23;55;32.196 S,52;35;54.713 E,4704.01,4694.66,10/9/22 10:32:03 AM,-23.92561,52.59853139,,
EA600-18kHz,10/9/22,10:32:16 AM,23;55;30.526 S,52;35;58.223 E,4679.42,4671.26,10/9/22 10:32:16 AM,-23.92514611,52.59950639,,
EA600-18kHz,10/9/22,10:32:30 AM,23;55;28.954 S,52;36;01.802 E,4684.39,4675.8,10/9/22 10:32:30 AM,-23.92470944,52.60050056,,
EA600-18kHz,10/9/22,10:32:43 AM,23;55;27.353 S,52;36;05.359 E,4712.67,4704.12,10/9/22 10:32:43 AM,-23.92426472,52.60148861,,
EA600-18kHz,10/9/22,10:32:56 AM,23;55;25.670 S,52;36;08.879 E,4723.85,4715.29,10/9/22 10:32:56 AM,-23.92379722,52.60246639,,
EA600-18kHz,10/9/22,10:33:10 AM,23;55;24.070 S,52;36;12.415 E,4731.34,4722.5,10/9/22 10:33:10 AM,-23.92335278,52.60344861,,
EA600-18kHz,10/9/22,10:33:23 AM,23;55;22.430 S,52;36;15.929 E,4810.98,4801.89,10/9/22 10:33:23 AM,-23.92289722,52.60442472,,
EA600-18kHz,10/9/22,10:33:36 AM,23;55;20.774 S,52;36;19.441 E,4803.06,4794.03,10/9/22 10:33:36 AM,-23.92243722,52.60540028,,
EA600-18kHz,10/9/22,10:33:50 AM,23;55;19.188 S,52;36;22.998 E,4816.18,4806.73,10/9/22 10:33:50 AM,-23.92199667,52.60638833,,
EA600-18kHz,10/9/22,10:34:03 AM,23;55;17.546 S,52;36;26.521 E,4825.73,4816.94,10/9/22 10:34:03 AM,-23.92154056,52.60736694,,
EA600-18kHz,10/9/22,10:34:16 AM,23;55;15.917 S,52;36;30.045 E,4828.14,4819.36,10/9/22 10:34:16 AM,-23.92108806,52.60834583,,
EA600-18kHz,10/9/22,10:34:30 AM,23;55;14.341 S,52;36;33.621 E,4825.46,4815.93,10/9/22 10:34:30 AM,-23.92065028,52.60933917,,
EA600-18kHz,10/9/22,10:34:43 AM,23;55;12.695 S,52;36;37.145 E,4774.9,4765.82,10/9/22 10:34:43 AM,-23.92019306,52.61031806,,
