sounder,date (dd/mm/yyyy),time (hh:mm:ss),latitude (dd;mm;ss.sss h),longitude  (dd;mm;ss.sss h),depth,range (m),time,lat,lon,unnamed: 10,unnamed: 11,unique_id,platform_name,raster_val,has_reference,tid_value,transit_id,outlier,outlier_reason
EA600-18kHz,10/9/22,10:23:48 AM,23;56;32.077 S,52;33;43.437 E,-5000.32,4990.59,2022-09-10 10:23:48,-23.94224361,52.56206583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:15 AM,23;56;28.861 S,52;33;50.492 E,-4968.14,4959.32,2022-09-10 10:24:15,-23.94135028,52.56402556,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:28 AM,23;56;27.208 S,52;33;54.014 E,-4966.16,4956.86,2022-09-10 10:24:28,-23.94089111,52.56500389,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:42 AM,23;56;25.581 S,52;33;57.520 E,-4966.34,4957.07,2022-09-10 10:24:42,-23.94043917,52.56597778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:25:35 AM,23;56;19.056 S,52;34;11.630 E,-5004.77,4995.72,2022-09-10 10:25:35,-23.93862667,52.56989722,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:02 AM,23;56;15.863 S,52;34;18.760 E,-5007.3,4997.85,2022-09-10 10:26:02,-23.93773972,52.57187778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:15 AM,23;56;14.248 S,52;34;22.327 E,-4999.95,4990.79,2022-09-10 10:26:15,-23.93729111,52.57286861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:42 AM,23;56;11.014 S,52;34;29.419 E,-4873.21,4864.27,2022-09-10 10:26:42,-23.93639278,52.57483861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:55 AM,23;56;09.368 S,52;34;32.970 E,-4872.03,4863.31,2022-09-10 10:26:55,-23.93593556,52.575825,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:09 AM,23;56;07.741 S,52;34;36.527 E,-4881.17,4871.9,2022-09-10 10:27:09,-23.93548361,52.57681306,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:22 AM,23;56;06.143 S,52;34;40.105 E,-4889.28,4880.37,2022-09-10 10:27:22,-23.93503972,52.57780694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:35 AM,23;56;04.516 S,52;34;43.659 E,-4891.32,4882.57,2022-09-10 10:27:35,-23.93458778,52.57879417,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:49 AM,23;56;02.878 S,52;34;47.246 E,-4897.89,4888.5,2022-09-10 10:27:49,-23.93413278,52.57979056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:28:16 AM,23;55;59.642 S,52;34;54.362 E,-4915.14,4905.47,2022-09-10 10:28:16,-23.93323389,52.58176722,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:28:29 AM,23;55;58.032 S,52;34;57.899 E,-4952.98,4944.18,2022-09-10 10:28:29,-23.93278667,52.58274972,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:28:42 AM,23;55;56.443 S,52;35;01.474 E,-4952.18,4943.07,2022-09-10 10:28:42,-23.93234528,52.58374278,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:28:56 AM,23;55;54.833 S,52;35;05.029 E,-4928.82,4919.41,2022-09-10 10:28:56,-23.93189806,52.58473028,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:29:09 AM,23;55;53.244 S,52;35;08.578 E,-4951.14,4941.91,2022-09-10 10:29:09,-23.93145667,52.58571611,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:29:49 AM,23;55;48.440 S,52;35;19.231 E,-4927.78,4918.69,2022-09-10 10:29:49,-23.93012222,52.58867528,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:30:02 AM,23;55;46.765 S,52;35;22.725 E,-4919.88,4911.21,2022-09-10 10:30:02,-23.92965694,52.58964583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:30:16 AM,23;55;45.174 S,52;35;26.275 E,-4919.23,4909.88,2022-09-10 10:30:16,-23.929215,52.59063194,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:30:56 AM,23;55;40.343 S,52;35;36.935 E,-4888.06,4879.39,2022-09-10 10:30:56,-23.92787306,52.59359306,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:31:09 AM,23;55;38.670 S,52;35;40.498 E,-4717.66,4708.66,2022-09-10 10:31:09,-23.92740833,52.59458278,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:31:36 AM,23;55;35.407 S,52;35;47.572 E,-4722.86,4713.93,2022-09-10 10:31:36,-23.92650194,52.59654778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:31:50 AM,23;55;33.800 S,52;35;51.116 E,-4716.04,4707.16,2022-09-10 10:31:50,-23.92605556,52.59753222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:32:03 AM,23;55;32.196 S,52;35;54.713 E,-4704.01,4694.66,2022-09-10 10:32:03,-23.92561,52.59853139,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:32:16 AM,23;55;30.526 S,52;35;58.223 E,-4679.42,4671.26,2022-09-10 10:32:16,-23.92514611,52.59950639,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:32:30 AM,23;55;28.954 S,52;36;01.802 E,-4684.39,4675.8,2022-09-10 10:32:30,-23.92470944,52.60050056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:32:43 AM,23;55;27.353 S,52;36;05.359 E,-4712.67,4704.12,2022-09-10 10:32:43,-23.92426472,52.60148861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:32:56 AM,23;55;25.670 S,52;36;08.879 E,-4723.85,4715.29,2022-09-10 10:32:56,-23.92379722,52.60246639,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:33:10 AM,23;55;24.070 S,52;36;12.415 E,-4731.34,4722.5,2022-09-10 10:33:10,-23.92335278,52.60344861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:33:23 AM,23;55;22.430 S,52;36;15.929 E,-4810.98,4801.89,2022-09-10 10:33:23,-23.92289722,52.60442472,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:33:36 AM,23;55;20.774 S,52;36;19.441 E,-4803.06,4794.03,2022-09-10 10:33:36,-23.92243722,52.60540028,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:33:50 AM,23;55;19.188 S,52;36;22.998 E,-4816.18,4806.73,2022-09-10 10:33:50,-23.92199667,52.60638833,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:34:03 AM,23;55;17.546 S,52;36;26.521 E,-4825.73,4816.94,2022-09-10 10:34:03,-23.92154056,52.60736694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:34:16 AM,23;55;15.917 S,52;36;30.045 E,-4828.14,4819.36,2022-09-10 10:34:16,-23.92108806,52.60834583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:34:30 AM,23;55;14.341 S,52;36;33.621 E,-4825.46,4815.93,2022-09-10 10:34:30,-23.92065028,52.60933917,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:34:43 AM,23;55;12.695 S,52;36;37.145 E,-4774.9,4765.82,2022-09-10 10:34:43,-23.92019306,52.61031806,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:34:56 AM,23;55;11.068 S,52;36;40.660 E,-4774.3,4764.73,2022-09-10 10:34:56,-23.91974111,52.61129444,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:35:10 AM,23;55;09.470 S,52;36;44.216 E,-4771.25,4761.67,2022-09-10 10:35:10,-23.91929722,52.61228222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
